444,-937,-524,-11592,10574,5029
543,-1119,-522,-11500,10347,5206
464,-1031,-418,-11310,10328,5244
548,-1211,-549,-11420,10601,5169
469,-1019,-406,-11455,10453,5199
371,-1186,-459,-11420,10644,5141
266,-1031,-495,-11315,10309,5385
481,-1030,-521,-11562,10380,4880
540,-1071,-486,-11475,10376,5190
341,-945,-472,-11352,10364,5301
536,-1015,-512,-11491,10509,5349
328,-851,-377,-11515,10541,5430
503,-843,-422,-11459,10684,5017
548,-1152,-259,-11560,10398,5295
556,-811,-376,-11513,10524,5088
486,-1085,-517,-11764,10579,5245
481,-1106,-523,-11532,10644,5032
455,-1041,-427,-11468,10446,4952
547,-1072,-490,-11415,10437,5268
463,-896,-460,-11372,10504,5394
485,-1006,-265,-11357,10441,5339
607,-1277,-496,-11478,10354,5184
561,-1091,-485,-11562,10540,5118
548,-773,-442,-11459,10437,5548
522,-1159,-497,-11625,10429,5216
502,-1006,-439,-11478,10420,5269
483,-995,-528,-11277,10375,5392
474,-1116,-424,-11358,10434,5270
543,-1126,-559,-11273,10532,5188
362,-840,-493,-11351,10341,5261
548,-859,-489,-11439,10545,5267
550,-943,-512,-11453,10393,5263
582,-1042,-501,-11443,10315,5150
437,-964,-483,-11370,10568,5293
547,-1098,-533,-11528,10353,5454
730,-1140,-533,-11487,10369,5415
542,-1130,-569,-11376,10400,5155
527,-903,-470,-11489,10392,5427
600,-1175,-463,-11372,10412,5221
458,-958,-481,-11736,10349,5209
530,-1069,-522,-11499,10367,5318
500,-1033,-505,-11459,10527,4926
550,-1019,-745,-11373,10549,5120
457,-1074,-563,-11449,10397,5464
707,-1075,-496,-11343,10497,5299
463,-937,-748,-11547,10443,5195
403,-982,-494,-11698,10329,5186
570,-1022,-302,-11531,10283,5309
463,-1111,-436,-11511,10254,5216
558,-991,-531,-11280,10464,5209
490,-1186,-573,-11392,10480,4940
733,-1166,-461,-11560,10404,5298
458,-946,-449,-11395,10647,5154
528,-1001,-515,-11355,10333,5395
530,-954,-531,-11352,10416,5440
472,-978,-408,-11464,10429,5196
453,-981,-490,-11596,10484,5168
512,-1223,-542,-11503,10645,5227
744,-967,-498,-11480,10324,5080
651,-1228,-565,-11428,10452,5162
543,-1226,-602,-11394,10481,5404
411,-901,-527,-11422,10662,5036
458,-1185,-513,-11527,10427,5180
479,-1057,-607,-11517,10347,5230
453,-988,-372,-11524,10409,4966
487,-930,-270,-11452,10288,5316
552,-1025,-481,-11452,10320,5107
601,-1136,-506,-11386,10512,5313
537,-1244,-475,-11504,10688,5321
400,-904,-423,-11551,10443,5230
468,-1008,-433,-11506,10448,5065
471,-910,-460,-11369,10325,4942
532,-1210,-553,-11467,10477,5207
540,-1027,-505,-11519,10665,5338
442,-1112,-522,-11412,10640,5214
550,-832,-414,-11468,10353,5099
458,-951,-396,-11587,10525,5153
511,-850,-541,-11462,10380,5203
280,-897,-494,-11395,10335,5226
491,-1242,-519,-11403,10707,5196
494,-924,-466,-11318,10392,5313
465,-900,-581,-11540,10250,5084
604,-1102,-510,-11476,10526,5216
402,-899,-495,-11352,10300,5281
504,-1000,-540,-11404,10593,5160
761,-1082,-505,-11579,10405,5246
440,-950,-365,-11476,10214,5228
513,-1216,-613,-11297,10477,5218
591,-1161,-475,-11451,10431,5283
486,-983,-448,-11452,10464,5431
481,-928,-477,-11519,10383,5146
522,-972,-508,-11771,10333,5089
483,-1028,-507,-11475,10327,5200
481,-919,-484,-11403,10292,5144
499,-942,-509,-11439,10461,5069
389,-797,-489,-11652,10628,4899
527,-956,-516,-11191,10421,5168
364,-940,-379,-11350,10454,5169
545,-1157,-478,-11486,10440,5280
609,-1102,-286,-11607,10397,5231
